,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
14684,14684,214683,Olaya,Garrido Rivas,U,19950522.0,ESP,,,2014-06-30,2014-06-30
14685,14685,214684,Katherine,Sebov,R,19990105.0,CAN,173.0,,2014-07-07,2024-04-15
14686,14686,214685,Gabriella,Bongiovanni,U,19910131.0,ITA,,,2014-07-07,2015-09-07
14687,14687,214686,Sidal,Ak,R,19990223.0,TUR,,,2014-07-07,2014-07-07
14688,14688,214687,Alice,Patch,U,19960922.0,GBR,,,2014-07-07,2014-07-07
14689,14689,214688,Valeri,Zatulko,R,19820620.0,UKR,,,2014-07-07,2015-06-08
14690,14690,214689,Yuliya,Mazur,R,20000329.0,UKR,,,2014-07-07,2014-07-07
14691,14691,214690,Hazal,Karaaliler,U,19990707.0,TUR,,,2014-07-07,2016-07-04
14692,14692,214691,Ylona Georgiana,Ghioroaie,U,19980328.0,ROU,,Q95960284,2014-09-08,2024-02-26
14693,14693,214692,Paula,Del Cueto Castillo,U,19970728.0,ESP,,,2014-07-21,2014-07-21
14694,14694,214693,Marta,Garcia Gausi,U,19970309.0,ESP,,,2015-07-06,2017-06-05
14695,14695,214694,Karman,Thandi,R,19980616.0,IND,183.0,Q28736634,2014-07-21,2023-05-01
14696,14696,214695,Tamar,Kutubidze,U,19970721.0,GEO,,,2014-07-28,2015-06-15
14697,14697,214696,Jessica,Failla,U,19970705.0,USA,,,2014-07-14,2024-08-12
14698,14698,214697,Charlotte,Robillard Millette,L,19990112.0,CAN,,Q23887884,2014-08-18,2020-03-02
14699,14699,214698,Yi,Yuan,U,19980218.0,CHN,,,2014-09-01,2019-10-14
14700,14700,214699,Candice,Paya,U,19970507.0,FRA,,,2014-07-21,2014-09-01
14701,14701,214700,Joanne,Karaitiana,U,19890113.0,AUS,,,2014-09-01,2015-03-23
14702,14702,214701,Natalia,Serrano Garcia,R,19970317.0,ESP,,,2014-09-01,2015-05-25
14703,14703,214702,Kristina,Njegus,U,19961118.0,SRB,,,2014-08-04,2014-09-01
14704,14704,214703,Isidora,Zivkovic,U,19990303.0,SRB,,,2017-08-21,2017-08-21
14705,14705,214704,Jovana,Vukovic,U,20000116.0,SRB,,,2015-06-15,2017-08-21
14706,14706,214705,Ana,Stojacic,U,19950101.0,SRB,,,2014-09-01,2014-09-01
14707,14707,214706,Dana,Kremer,R,19970901.0,GER,,Q40866675,2014-08-18,2017-08-07
14708,14708,214707,Cristiana Miruna,Tudor,R,19980311.0,ROU,,,2015-09-07,2016-10-03
14709,14709,214708,Georgiana,Ruhrig,R,19950721.0,AUS,,,2014-08-11,2024-03-18
14710,14710,214709,Ashley,Mackey,R,19920829.0,USA,,,2014-09-15,2016-05-23
14711,14711,214710,Valerie,Quiceno,U,19971122.0,USA,,,2014-11-24,2016-10-03
14712,14712,214711,Maria Victoria,Quinde Serrano,R,19961012.0,ECU,,,2014-09-01,2014-09-01
14713,14713,214712,Sofia Daniela,Duran Vinueza,U,19971007.0,ECU,,,2014-09-01,2014-09-01
