,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
62710,62710,210426,Mashari,Nawaf,U,20070723.0,QAT,,,2021-12-27,2024-01-08
62711,62711,210427,Stepan,Mozhaev,U,20040219.0,RUS,,,2021-12-27,2022-06-13
62712,62712,210428,Lorenzo,Favero,U,20010524.0,ITA,,,2022-01-03,2022-01-03
62713,62713,210429,Pietro Romeo,Scomparin ,R,20010407.0,ITA,,,2022-01-03,2024-08-19
62714,62714,210430,Gianrocco,De Filippo,U,20020902.0,ITA,,,2022-01-03,2024-08-19
62715,62715,210431,Joan,Nadal Vives,U,20040428.0,ESP,,,2024-01-22,2024-06-24
62716,62716,210432,Felix ,Einig,U,20000617.0,GER,,,2022-01-03,2024-07-08
62717,62717,210433,Antonio,Prat,U,20040131.0,ESP,,,2023-06-26,2024-06-10
62718,62718,210434,Charlie,Camus,L,20061016.0,FRA,175.0,,2022-02-07,2024-08-12
62719,62719,210435,Cooper,Errey,U,20051005.0,AUS,,,2022-01-03,2023-02-27
62720,62720,210436,Hayden,Jones,R,20060830.0,AUS,175.0,,2022-02-07,2024-11-25
62721,62721,210437,Zack,Vialla,R,20051010.0,AUS,185.0,,2024-11-11,2024-11-11
62722,62722,210438,Jeremy,Jin,U,20040627.0,AUS,,,,
62723,62723,210439,Henry,Lamchinniah,U,20050129.0,AUS,,,2022-01-03,2022-01-03
62724,62724,210440,Federico,Bove,U,19980925.0,ITA,,,2022-01-10,2024-09-09
62725,62725,210441,Alen Moritz,Hodzic,U,20020606.0,GER,,,2022-09-12,2023-12-11
62726,62726,210442,Natan,D'Hulst,U,20030425.0,BEL,,,2022-01-10,2022-01-10
62727,62727,210443,Sandro,Cottino ,U,20010801.0,FRA,,,2023-10-09,2023-10-09
62728,62728,210444,Charlelie,Cosnet,U,20030201.0,FRA,,,2022-01-24,2023-06-12
62729,62729,210445,Lucien,Forrestier,U,20000215.0,FRA,,,2022-01-10,2022-01-10
62730,62730,210446,Pierre,Mouesca,U,20041130.0,FRA,,,2022-08-29,2023-06-19
62731,62731,210447,Leo,Raquillet,R,20051004.0,FRA,191.0,,2022-08-29,2024-10-14
62732,62732,210448,Phoenix,Weir,R,20051029.0,GBR,,,2022-01-10,2024-10-28
62733,62733,210449,Skander,Mezouar,U,20051212.0,TUN,,,2022-01-10,2023-05-15
62734,62734,210450,Mhamed,Affes,U,19840101.0,TUN,,,2022-01-10,2022-01-10
62735,62735,210451,Maceo,Simpson,U,20030208.0,GBR,,,2022-05-16,2022-05-16
62736,62736,210452,Rayen,Zribi,U,20030112.0,TUN,,,2022-01-10,2022-07-11
62737,62737,210453,Cedric,Stanke,U,19981002.0,GER,,,2023-10-30,2024-05-06
62738,62738,210454,Jesse,De Jager,U,20020405.0,NED,,,2022-10-10,2024-10-14
62739,62739,210455,Noah,Perfetti,U,20010615.0,ITA,,,2023-02-06,2024-12-16
62740,62740,210456,Karim,Ibrahim,U,20030807.0,EGY,,,2022-01-17,2024-07-08
62741,62741,210457,Pranav Suhas,Nemani,U,20031219.0,USA,,,2022-01-17,2022-01-17
62742,62742,210458,Bernardo,Munk Mesa ,U,20060213.0,ESP,,,2022-01-24,2022-01-31
62743,62743,210459,Yassine,Bejia,U,19970116.0,TUN,,,2022-01-17,2022-01-17
62744,62744,210460,Nishesh,Basavareddy,R,20050502.0,USA,180.0,,2022-01-24,2024-12-18
62745,62745,210461,Sebastian,Sec,U,20031021.0,USA,,,2022-03-07,2023-08-07
62746,62746,210462,Lucas,Muratori,U,20041104.0,BRA,,,2022-01-31,2022-01-31
62747,62747,210463,Luis Felipe,Ferraz Sandoval Carvalho,U,20051013.0,BRA,,,2024-05-06,2024-07-08
62748,62748,210464,Darwin,Blanch,L,20070928.0,USA,185.0,,2022-01-31,2024-11-18
62749,62749,210465,Jordi,Domenech Castillo,U,20050613.0,ESP,,,2022-01-31,2022-11-07
62750,62750,210466,Izan,Orgiles Garcia Retamero,U,20040405.0,ESP,,,2022-01-31,2022-10-03
62751,62751,210467,Rafael,Segado Esteve,U,20060303.0,ESP,,,2022-10-03,2024-12-09
62752,62752,210468,Jeremy,Jin,R,20040627.0,AUS,178.0,,2022-10-31,2024-07-01
62753,62753,210469,Nicholas,Jovanovski,R,19960825.0,AUS,180.0,,2022-02-07,2022-10-24
62754,62754,210470,Tai,Sach,U,20020916.0,AUS,,,2022-07-25,2023-12-18
62755,62755,210471,Blake,Bayldon,L,19981207.0,AUS,183.0,,2022-05-16,2024-10-14
62756,62756,210472,Oliver,Tarvet,U,20031029.0,GBR,,,2022-02-07,2024-06-17
62757,62757,210473,Fnu,Nidunjianzan,U,20040107.0,CHN,,,2022-04-18,2024-06-10
62758,62758,210474,Alexander,Frusina,R,20051217.0,USA,180.0,,2022-09-26,2024-07-01
62759,62759,210475,Preston,Stearns,U,20040130.0,USA,,,2023-09-18,2024-07-08
62760,62760,210476,Enmanuel,Munoz,U,20050122.0,DOM,,,2023-06-26,2024-08-12
62761,62761,210477,Artur,Kukasian,U,20040321.0,RUS,,,2023-10-09,2024-01-29
62762,62762,210478,Sebastian,Gorzny,R,20040124.0,USA,,,2022-11-07,2024-06-10
62763,62763,210479,Nicolas,Eli,U,20050303.0,ARG,,,2022-06-20,2024-01-15
62764,62764,210480,Alberto,Puello ,U,20060818.0,DOM,,,2022-02-21,2023-11-13
62765,62765,210481,Ping Chen,Lin,U,20021230.0,TPE,,,2022-02-21,2022-02-21
62766,62766,210482,Anargha,Ganguly ,U,20040630.0,IND,,,2022-02-21,2022-02-21
62767,62767,210483,Yaojie,Zeng,R,20020130.0,CHN,185.0,,2023-09-11,2024-10-14
62768,62768,210484,Lennon Roark,Jones,U,20050115.0,JPN,,,2023-05-29,2024-11-18
62769,62769,210485,Togan,Tokac ,R,20040127.0,TUR,,,2022-02-21,2022-05-16
62770,62770,210486,Nicholas,Godsick,R,20040915.0,USA,185.0,,2023-04-10,2024-07-15
62771,62771,210487,Kenneth,Rabinad Vila,U,20050410.0,ESP,,,2022-02-28,2024-05-13
62772,62772,210488,Roger,Pascual Ferra ,U,20060311.0,ESP,,,2022-02-28,2022-04-04
62773,62773,210489,Yevhenii,Bondarenko,U,20030616.0,UKR,,,2022-02-28,2022-08-22
62774,62774,210490,Matthias Uwe,Kask,U,20050826.0,CAN,,,2022-03-07,2024-11-11
62775,62775,210491,Alen,Bill,U,20030503.0,CRO,,,2023-06-05,2023-06-05
62776,62776,210492,Marko,Andrejic,U,20030126.0,AUT,,,2022-08-22,2023-04-24
62777,62777,210493,Jorge Carlos,Camara Allgaier,U,20040309.0,ESP,,,2022-03-07,2022-03-07
62778,62778,210494,Theo,Papamalamis,R,20060109.0,FRA,183.0,,2022-03-07,2024-11-18
62779,62779,210495,Rayan,Ghedjemis,U,20000911.0,ALG,,,2022-05-16,2022-04-04
62780,62780,210496,Sushant,Dabas,U,20030114.0,IND,,,2022-03-07,2022-03-07
62781,62781,210497,Tathagat,Charantimath,U,19981201.0,IND,,,2022-03-14,2022-03-14
